,ds,yhat,yhat_lower,yhat_upper
84,2023-08-13,60.961706870987186,50.9912409734408,71.83512455725632
85,2023-08-20,60.61174329582671,50.865230226052965,71.33442562590584
86,2023-08-27,60.26177972066624,50.74248939621043,70.07495382495682
87,2023-09-03,59.91181614550578,48.841965878027125,69.41596989704274
88,2023-09-10,59.561852570345295,48.61464727686732,69.83616412701177
89,2023-09-17,59.211888995184836,48.91674487650092,69.88003644394331
90,2023-09-24,58.86192542002436,48.84891161500606,69.92818644022276
91,2023-10-01,58.51196184486389,48.110876197693216,69.09321757678404
92,2023-10-08,58.16199826970342,48.37197173994791,68.53456340503328
93,2023-10-15,57.812034694542945,47.52212609209342,67.94952066877221
94,2023-10-22,57.462071119382486,47.40405473605518,67.9184100170664
95,2023-10-29,57.112107544222,45.565598979856965,67.57692505406607
